ConsignmentNumber,UniqueId,SenderReference,StatusDateTime,Status,StatusTag
"PLX189865","","393503651002102268","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189853","","393503651002102244","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189839","","393503651002102237","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189791","","393503651002102114, 393503651002102107","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX019203","3a02cf69-1f79-4015-883c-58e8c1411b01","89885","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189840","","393503651002110911, 393503651002110881, 393503651002110904, 393503651002110898","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189835","","393503651002110812, 393503651002110843, 393503651002110850, 393503651002110867, 393503651002110836,","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189788","","393503651002110096, 393503651002110119, 393503651002109878, 393503651002110126","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189846","","393503651002102091","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189639","","393503651002101902","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189519","","393503651002101865, 393503651002101872","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189621","","393503651002101896","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189906","","393503651002110744, 393503651002110805, 393503651002110775, 393503651002110768, 393503651002110751,","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189820","","393503651002110270","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189822","","393503651002110263, 393503651002109854","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189211","","393503651002110287, 393503651002110294","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189828","","393503651002110140, 393503651002110164, 393503651002110157, 393503651002110133","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX019202","cbdaeae6-7523-43d0-8c95-361117fe806f","89757","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189904","","393503651002110300, 393503651002110324, 393503651002110317, 393503651002110171","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189213","","393503651002110690, 393503651002110737, 393503651002110706, 393503651002110713, 393503651002110720","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189645","","393503651002105573, 393503651002105597","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189622","","393503651002105511","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189071","","393503651002105047, 393503651002105030","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX019201","6245e68d-64ca-466e-a32b-51d0be8086f6","90102","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189910","","393255522002539575","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189648","","393503651002101742, 393503651002101728, 393503651002101759, 393503651002101766, 393503651002101773,","17/11/2021 13:36 +11:00","MobilePickupComplete",""
"PLX189470","","393503651002106389, 393503651002106396, 393503651002106372, 393503651002106341, 393503651002106358,","17/11/2021 13:36 +11:00","MobilePickupComplete",""
